metric,category,n,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,note
bleu,FD,21,-0.3801,0.0892,-0.3981,0.0739,-0.2762,0.0799,
bleu,FO,21,-0.0574,0.8048,-0.1172,0.6128,-0.0524,0.7398,
bleu,Loc,21,-0.201,0.3824,-0.3693,0.0995,-0.0952,0.5459,
bleu,Sev,21,-0.068,0.7697,-0.02,0.9313,-0.0095,0.9518,
bleu,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
bleu,Attr,21,-0.3945,0.0768,-0.3936,0.0775,-0.2381,0.1311,
bleu,Total,21,-0.3617,0.1071,-0.4438,0.0439,-0.2952,0.0612,
rouge1,FD,21,-0.2468,0.2809,-0.2018,0.3805,-0.1333,0.3978,
rouge1,FO,21,-0.3044,0.1798,-0.351,0.1187,-0.2333,0.139,
rouge1,Loc,21,-0.3181,0.1599,-0.3693,0.0995,-0.0952,0.5459,
rouge1,Sev,21,-0.1824,0.4287,-0.1602,0.4878,-0.0762,0.629,
rouge1,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
rouge1,Attr,21,-0.4764,0.029,-0.4409,0.0454,-0.2667,0.0908,
rouge1,Total,21,-0.5363,0.0122,-0.5412,0.0113,-0.3714,0.0185,
rouge2,FD,21,-0.4291,0.0523,-0.3736,0.0952,-0.2571,0.103,
rouge2,FO,21,-0.0215,0.9264,-0.0191,0.9345,-0.0429,0.7858,
rouge2,Loc,21,-0.2254,0.326,-0.3693,0.0995,-0.0952,0.5459,
rouge2,Sev,21,-0.0667,0.774,0.0,1.0,0.0,1.0,
rouge2,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
rouge2,Attr,21,-0.4363,0.048,-0.4251,0.0547,-0.2571,0.103,
rouge2,Total,21,-0.3703,0.0985,-0.3891,0.0813,-0.2667,0.0908,
rougeL,FD,21,-0.4483,0.0416,-0.3947,0.0766,-0.2667,0.0908,
rougeL,FO,21,-0.0535,0.8178,-0.0428,0.8538,-0.0333,0.8326,
rougeL,Loc,21,-0.2327,0.3101,-0.3693,0.0995,-0.0952,0.5459,
rougeL,Sev,21,-0.1066,0.6457,-0.0601,0.7959,-0.0286,0.8562,
rougeL,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
rougeL,Attr,21,-0.4853,0.0258,-0.4881,0.0248,-0.2952,0.0612,
rougeL,Total,21,-0.4241,0.0554,-0.4286,0.0525,-0.2762,0.0799,
bertscore,FD,21,-0.4453,0.0431,-0.4755,0.0293,-0.3238,0.04,
bertscore,FO,21,-0.1725,0.4547,-0.166,0.4721,-0.1095,0.4874,
bertscore,Loc,21,-0.2545,0.2655,-0.3323,0.141,-0.0857,0.5868,
bertscore,Sev,21,-0.2491,0.2761,-0.2003,0.3841,-0.0952,0.5459,
bertscore,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
bertscore,Attr,21,-0.5407,0.0114,-0.5511,0.0096,-0.3333,0.0345,
bertscore,Total,21,-0.5557,0.0089,-0.5814,0.0057,-0.4095,0.0094,
radeval_bertscore,FD,21,-0.2421,0.2904,-0.1814,0.4314,-0.1333,0.3978,
radeval_bertscore,FO,21,-0.1951,0.3968,-0.2575,0.2598,-0.1381,0.3812,
radeval_bertscore,Loc,21,-0.0645,0.7812,-0.0739,0.7504,-0.019,0.9039,
radeval_bertscore,Sev,21,-0.0475,0.8379,0.0,1.0,0.0,1.0,
radeval_bertscore,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
radeval_bertscore,Attr,21,-0.3668,0.102,-0.3307,0.1432,-0.2,0.2047,
radeval_bertscore,Total,21,-0.3756,0.0934,-0.428,0.053,-0.2857,0.07,
f1radbert_ct_sample_acc,FD,21,-0.2477,0.279,-0.2511,0.2722,-0.0619,0.6946,
f1radbert_ct_sample_acc,FO,21,-0.3027,0.1822,-0.3184,0.1596,-0.081,0.6077,
f1radbert_ct_sample_acc,Loc,21,-0.05,0.8296,-0.05,0.8296,-0.0048,0.9759,
f1radbert_ct_sample_acc,Sev,21,-0.1085,0.6398,-0.1085,0.6398,-0.019,0.9039,
f1radbert_ct_sample_acc,Trend,,,,,,,,sıfır varyans — korelasyon tanımsız
f1radbert_ct_sample_acc,Attr,21,-0.2132,0.3535,-0.2132,0.3535,-0.0476,0.7627,
f1radbert_ct_sample_acc,Total,21,-0.4382,0.0469,-0.3744,0.0945,-0.0952,0.5459,
