report_id,bleu,rouge1,rouge2,rougeL,bertscore,radeval_bertscore,f1radbert_ct_sample_acc,RadCliQ_FD,RadCliQ_FO,RadCliQ_Loc,RadCliQ_Sev,RadCliQ_Trend,RadCliQ_Attr,RadCliQ_Total
"report_generation_1407, valid_589_a_1.nii.gz",0.138434,0.551579,0.241015,0.282105,0.579253,0.750951,0.0,1,2,0,0,0,0,3
"report_generation_1574, valid_666_a_1.nii.gz",0.126262,0.55079,0.213152,0.288939,0.548567,0.722791,0.0,3,2,0,0,0,1,6
"report_generation_1596, valid_674_a_1.nii.gz",0.732093,0.855037,0.775309,0.825553,0.857792,0.886998,0.0,1,3,0,0,0,0,4
"report_generation_1610, valid_679_a_1.nii.gz",0.197815,0.639594,0.311224,0.370558,0.651543,0.708007,0.0,2,2,0,0,0,1,5
"report_generation_1666, valid_707_a_1.nii.gz",0.070972,0.428082,0.254296,0.308219,0.56547,0.624012,0.0,2,7,0,0,0,1,10
"report_generation_1670, valid_709_a_1.nii.gz",0.265332,0.574307,0.481013,0.534005,0.683723,0.723268,0.0,0,4,0,0,0,0,4
"report_generation_1689, valid_716_a_1.nii.gz",0.543486,0.73716,0.668693,0.694864,0.783442,0.809669,0.0,0,3,0,0,0,0,3
"report_generation_1752, valid_742_a_1.nii.gz",0.239761,0.636364,0.34507,0.496503,0.69628,0.700045,1.0,0,1,0,0,0,0,1
"report_generation_1812, valid_771_a_1.nii.gz",0.232803,0.558824,0.35503,0.476471,0.627187,0.645171,0.0,1,6,0,0,0,0,7
"report_generation_1988, valid_844_a_1.nii.gz",0.166668,0.524217,0.303725,0.381766,0.611876,0.601149,0.0,0,4,0,0,0,0,4
"report_generation_1992, valid_845_a_1.nii.gz",0.231251,0.544578,0.397094,0.448193,0.648149,0.64638,0.0,0,4,0,1,0,1,6
"report_generation_2016, valid_852_a_1.nii.gz",0.103106,0.530184,0.216359,0.293963,0.595928,0.615264,0.0,2,3,0,0,0,1,6
"report_generation_946, valid_406_a_1.nii.gz",0.456186,0.686327,0.6469,0.675603,0.770478,0.796879,0.0,0,3,0,0,0,0,3
"report_generation_1030, valid_440_a_1.nii.gz",0.09667,0.511628,0.26087,0.345515,0.591743,0.677526,0.0,3,0,0,0,0,0,3
"report_generation_1128, valid_479_a_1.nii.gz",0.097894,0.465,0.19598,0.25,0.535792,0.552401,0.0,3,2,0,0,0,1,6
"report_generation_1134, valid_482_a_1.nii.gz",0.332908,0.611399,0.450607,0.47323,0.625628,0.747282,0.0,2,5,0,1,0,1,9
"report_generation_1190, valid_498_a_1.nii.gz",0.08917,0.592992,0.243902,0.307278,0.609712,0.675624,0.0,3,1,0,0,0,0,4
"report_generation_1210, valid_504_a_1.nii.gz",0.061893,0.423423,0.176471,0.252252,0.482025,0.637652,0.0,2,4,0,1,0,1,8
"report_generation_1234, valid_515_a_1.nii.gz",0.122757,0.527103,0.243902,0.302804,0.555577,0.709074,0.0,2,4,0,1,0,1,8
"report_generation_1249, valid_523_a_1.nii.gz",0.074861,0.507123,0.194842,0.250712,0.56734,0.642299,0.0,0,6,0,0,0,0,6
"report_generation_1304, valid_544_a_1.nii.gz",0.05678,0.418605,0.169851,0.236786,0.521424,0.67065,0.0,0,5,1,0,0,1,7
