report_id,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1
"report_generation_2036, valid_863_a_1.nii.gz",0.7191,0.5779,0.5798,0.8995
"report_generation_2062, valid_875_a_1.nii.gz",0.451,0.1648,0.2369,0.8322
"report_generation_2091, valid_886_a_1.nii.gz",0.6481,0.5404,0.5923,0.913
"report_generation_2311, valid_978_a_1.nii.gz",0.7895,0.7401,0.7632,0.9288
"report_generation_2445, valid_1033_a_1.nii.gz",0.5385,0.2415,0.2452,0.8498
"report_generation_2468, valid_1042_a_1.nii.gz",0.5136,0.4027,0.4252,0.8829
"report_generation_2501, valid_1058_a_1.nii.gz",0.7604,0.5864,0.5833,0.9167
"report_generation_2576, valid_1091_a_1.nii.gz",0.5098,0.2213,0.3373,0.855
"report_generation_2626, valid_1113_a_1.nii.gz",0.5895,0.3251,0.4421,0.8816
"report_generation_2639, valid_1120_a_1.nii.gz",0.395,0.1378,0.2079,0.8199
"report_generation_2743, valid_1169_a_1.nii.gz",0.6457,0.4655,0.5543,0.897
"report_generation_2755, valid_1171_a_1.nii.gz",0.6238,0.3107,0.4437,0.8885
"report_generation_2761, valid_1173_a_1.nii.gz",0.5027,0.1883,0.2159,0.8505
"report_generation_2791, valid_1187_a_1.nii.gz",0.5151,0.2314,0.2904,0.8441
"report_generation_2882, valid_1231_a_1.nii.gz",0.4696,0.2105,0.2376,0.8501
"report_generation_2956, valid_1264_a_1.nii.gz",0.7981,0.6715,0.7452,0.9409
"report_generation_2991, valid_1281_a_1.nii.gz",0.5202,0.3684,0.4153,0.8646
