report_id,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1
valid_100_a_1,0.478,0.2188,0.26,0.8476
valid_1001_a_1,0.5487,0.2374,0.295,0.8713
valid_1003_a_1,0.4737,0.2252,0.2895,0.8516
valid_1005_a_1,0.5602,0.2914,0.3489,0.8623
valid_100_a_2,0.478,0.2188,0.26,0.8476
valid_1001_a_2,0.487,0.2274,0.2899,0.8384
valid_1003_a_2,0.456,0.2164,0.2801,0.8492
valid_1005_a_2,0.5493,0.2949,0.3413,0.8738
valid_1000_a_1,0.6632,0.5478,0.5707,0.8971
valid_1002_a_1,0.4773,0.2495,0.2564,0.8518
valid_1004_a_1,0.4687,0.2422,0.3214,0.8631
valid_1005_b_1,0.5796,0.4267,0.3407,0.8721
valid_1000_a_2,0.5732,0.2699,0.3232,0.8767
valid_1002_a_2,0.4609,0.2374,0.2605,0.8529
valid_1004_a_2,0.4687,0.2422,0.3214,0.8631
valid_1005_b_2,0.5682,0.4315,0.3221,0.8723
